metric,data_type,metric_character,valid_observation_count,missing_count,finite_count,non_finite_count,independent_request_count,independent_episode_count,independent_geography_count,concept_count,repeated_request_count,repeat_eligible_request_concept_group_count,minimum,maximum,mean,median,standard_deviation,interquartile_range,zero_fraction,positive_count,negative_count,descriptive,repeat_reliability,population_inference,bootstrap,permutation,ineligibility_reasons
anticipatory_standardized_lift,double,continuous,12,18,12,0,5,5,5,4,1,1,-0.547697028101,1.11477282287,-0.111295230283,-0.331252272076,0.545701403718,0.368637898228,0,3,9,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,more_than_50_percent_missing;insufficient_independent_requests_5_below_20
anticipatory_robust_lift,double,continuous,6,24,6,0,5,5,5,1,1,1,-0.385423291129,1.52242199996,0.10007866139,-0.0919760126559,0.70725803985,0.135226637655,0,1,5,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,more_than_50_percent_missing;insufficient_independent_requests_5_below_20
immediate_mean,double,continuous,30,0,30,0,5,5,5,5,1,5,0,82,10.9944444444,0.291666666667,23.7306244149,2.8,0.433333333333,17,0,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,insufficient_independent_requests_5_below_20
immediate_maximum,double,continuous,30,0,30,0,5,5,5,5,1,5,0,93,13.9666666667,1,28.1688056047,5,0.433333333333,17,0,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,insufficient_independent_requests_5_below_20
immediate_peak_lift,double,continuous,30,0,30,0,5,5,5,5,1,5,-0.190476190476,36.2380952381,4.84285714286,1,9.81202759508,3.83333333333,0.333333333333,17,3,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,insufficient_independent_requests_5_below_20
immediate_standardized_lift,double,continuous,12,18,12,0,5,5,5,4,1,1,-0.382895976233,2.87054001888,0.581172286505,-0.109613576428,1.15468013453,1.88779033107,0,5,7,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,more_than_50_percent_missing;insufficient_independent_requests_5_below_20
immediate_robust_lift,double,continuous,6,24,6,0,5,5,5,1,1,1,-0.0632335087009,1.90083759489,0.915399782255,0.845361751877,0.88871316452,1.57605368742,0,5,1,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,more_than_50_percent_missing;insufficient_independent_requests_5_below_20
early_recovery_mean,double,continuous,30,0,30,0,5,5,5,5,1,5,0,75,11.24,0.1,23.0879816474,4.95,0.5,15,0,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,insufficient_independent_requests_5_below_20
early_recovery_maximum,double,continuous,30,0,30,0,5,5,5,5,1,5,0,92,14.7,0.5,28.1071226707,11.75,0.5,15,0,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,insufficient_independent_requests_5_below_20
early_recovery_peak_lift,double,continuous,30,0,30,0,5,5,5,5,1,5,-8.04761904762,43.3333333333,5.57619047619,0,11.7783591519,6.04761904762,0.4,14,4,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,insufficient_independent_requests_5_below_20
early_recovery_standardized_lift,double,continuous,12,18,12,0,5,5,5,4,1,1,-0.604802746228,3.71749758374,0.470755576223,-0.0237013615546,1.19366024652,1.17065621123,0,6,6,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,more_than_50_percent_missing;insufficient_independent_requests_5_below_20
early_recovery_robust_lift,double,continuous,6,24,6,0,5,5,5,1,1,1,-0.674490759477,6.20531498718,1.44606731009,0.853843984156,2.48203076536,1.43789166452,0,4,2,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,more_than_50_percent_missing;insufficient_independent_requests_5_below_20
extended_recovery_mean,double,continuous,30,0,30,0,5,5,5,5,1,5,0,54.2380952381,8.70634920635,0.047619047619,18.3984792831,0.857142857143,0.5,15,0,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,insufficient_independent_requests_5_below_20
extended_recovery_maximum,double,continuous,30,0,30,0,5,5,5,5,1,5,0,100,16.0666666667,0.5,33.4632411124,3,0.5,15,0,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,insufficient_independent_requests_5_below_20
extended_recovery_peak_lift,double,continuous,30,0,30,0,5,5,5,5,1,5,-1.80952380952,56.3333333333,6.94285714286,0,16.3811595435,2.5,0.466666666667,12,4,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,insufficient_independent_requests_5_below_20
extended_recovery_standardized_lift,double,continuous,12,18,12,0,5,5,5,4,1,1,-1.10851254789,2.2360679775,0.189179691907,-0.19781804264,1.0128706339,0.428143651913,0.0833333333333,4,7,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,more_than_50_percent_missing;insufficient_independent_requests_5_below_20
extended_recovery_robust_lift,double,continuous,6,24,6,0,5,5,5,1,1,1,-0.951513749976,3.91847012648,0.577307639226,0.169352658224,1.70204433894,0.417341157426,0,4,2,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,more_than_50_percent_missing;insufficient_independent_requests_5_below_20
anticipatory_valid_day_count,int64,count_like,30,0,30,0,5,5,5,5,1,5,7,7,7,7,0,0,0,30,0,yes,ineligible,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,constant_or_single_value;count_like_not_primary_response;insufficient_independent_requests_5_below_20
immediate_valid_day_count,int64,count_like,30,0,30,0,5,5,5,5,1,5,3,5,3.66666666667,3.5,0.758098043579,1,0,30,0,yes,ineligible,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,count_like_not_primary_response;insufficient_independent_requests_5_below_20
early_recovery_valid_day_count,int64,count_like,30,0,30,0,5,5,5,5,1,5,5,5,5,5,0,0,0,30,0,yes,ineligible,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,constant_or_single_value;count_like_not_primary_response;insufficient_independent_requests_5_below_20
extended_recovery_valid_day_count,int64,count_like,30,0,30,0,5,5,5,5,1,5,21,21,21,21,0,0,0,30,0,yes,ineligible,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,constant_or_single_value;count_like_not_primary_response;insufficient_independent_requests_5_below_20
